year,depth,mag,magType,net,id,updated,place,type,status,locationSource,magSource,,,,
1900,0,7.6,mw,iscgem,iscgem16957713,2015-05-13T18:52:41.000Z,Santa Cruz Islands,earthquake,automatic,iscgem,iscgem,,,,
1900,0,7.7,mw,iscgem,iscgem16957718,2018-01-09T23:39:24.583Z,Southeastern Alaska,earthquake,automatic,iscgem,iscgem,,,,
1900,0,7.7,mw,iscgem,iscgem16957719,2015-05-13T18:52:41.000Z,"offshore Miranda, Venezuela",earthquake,automatic,iscgem,iscgem,,,,
1901,0,7.9,mw,iscgem,iscgem16957737,2015-05-13T18:52:41.000Z,southeast of the Loyalty Islands,earthquake,automatic,iscgem,iscgem,,,,
1901,0,7.5,mw,iscgem,iscgem16957736,2015-05-13T18:52:41.000Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1902,0,7.5,mw,iscgem,iscgem16957763,2015-05-13T18:52:41.000Z,Guatemala,earthquake,automatic,iscgem,iscgem,,,,
1902,0,7.7,mw,iscgem,iscgem16957769,2015-05-13T18:52:41.000Z,Kyrgyzstan-Xinjiang border region,earthquake,automatic,iscgem,iscgem,,,,
1902,0,7.5,mw,iscgem,iscgem16957777,2015-05-13T18:52:41.000Z,"Alamagan region, Northern Mariana Islands",earthquake,automatic,iscgem,iscgem,,,,
1902,0,7.8,mw,iscgem,iscgem16957778,2015-05-13T18:52:41.000Z,"Chiapas, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1903,0,7.7,mw,iscgem,iscgem16957788,2015-05-13T18:52:41.000Z,"off the coast of Oaxaca, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1904,15,7.5,mw,iscgemsup,iscgemsup16957820,2015-07-13T17:02:22.000Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,automatic,iscgem,iscgem,,,,
1904,30,7.7,mw,iscgem,iscgem16957819,2015-05-13T18:52:41.000Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,automatic,iscgem,iscgem,,,,
1905,20,7.9,mw,iscgem,iscgem16957848,2015-05-13T18:52:41.000Z,"Himachal Pradesh, India",earthquake,automatic,iscgem,iscgem,,,,
1905,15,8.3,mw,iscgem,iscgem16957859,2015-05-13T18:52:41.000Z,central Mongolia,earthquake,automatic,iscgem,iscgem,,,,
1905,15,8.3,mw,iscgem,iscgem16957865,2015-05-13T18:52:41.000Z,western Mongolia,earthquake,automatic,iscgem,iscgem,,,,
1905,15,7.2,mw,iscgem,iscgem16957871,2015-05-13T18:52:41.000Z,"Sicily, Italy",earthquake,automatic,iscgem,iscgem,,,,
1905,15,7.4,mw,iscgemsup,iscgemsup16957878,2015-07-13T17:02:22.000Z,Aegean Sea,earthquake,automatic,iscgem,iscgem,,,,
1906,300,7.4,mw,iscgem,iscgem16957883,2015-05-13T18:52:41.000Z,"near the south coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1906,20,8.8,mw,official,official19060131153610_30,2018-02-14T23:07:34.956Z,near the coast of Ecuador,earthquake,reviewed,iscgem,official,,,,
1906,11.7,7.9,mw,official,official19060418131226300_12,2018-03-09T15:15:46.647Z,The 1906 San Francisco Earthquake,earthquake,reviewed,official,official,,,,
1906,110,8.3,mw,iscgem,iscgem16957912,2015-05-13T18:52:41.000Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,automatic,iscgem,iscgem,,,,
1906,35,8.2,mw,iscgemsup,iscgemsup16957911,2015-07-13T17:02:22.000Z,"Valparaiso, Chile",earthquake,automatic,iscgem,iscgem,,,,
1906,35,8,mw,iscgemsup,iscgemsup16957920,2015-07-13T17:02:22.000Z,"eastern New Guinea region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1906,35,7,mw,iscgemsup,iscgemsup16957929,2015-07-13T17:02:22.000Z,central Afghanistan,earthquake,automatic,iscgem,iscgem,,,,
1906,15,7.8,mw,iscgem,iscgem16957935,2015-05-13T18:52:41.000Z,"northern Xinjiang, China",earthquake,automatic,iscgem,iscgem,,,,
1907,15,7.8,mw,iscgem,iscgem16957943,2015-05-13T18:52:41.000Z,off the west coast of northern Sumatra,earthquake,automatic,iscgem,iscgem,,,,
1907,30,7.8,mw,iscgem,iscgem16957951,2015-05-13T18:52:41.000Z,"Oaxaca, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1907,20,7.4,mw,iscgem,iscgem16957975,2015-05-13T18:52:41.000Z,Tajikistan,earthquake,automatic,iscgem,iscgem,,,,
1908,15,7,mw,iscgem,iscgem16958007,2015-05-13T18:52:41.000Z,Myanmar,earthquake,automatic,iscgem,iscgem,,,,
1908,15,7,mw,iscgem,iscgem16958009,2018-02-14T23:03:35.198Z,"Sicily, Italy",earthquake,automatic,iscgem,iscgem,,,,
1909,15,7.3,mw,iscgemsup,iscgemsup16958011,2015-07-13T17:02:22.000Z,central Iran,earthquake,automatic,iscgem,iscgem,,,,
1909,15,7.1,mw,iscgem,iscgem16958018,2015-05-13T18:52:41.000Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1909,200,7.7,mw,iscgem,iscgem16958043,2015-05-13T18:52:41.000Z,"Hindu Kush region, Afghanistan",earthquake,automatic,iscgem,iscgem,,,,
1909,20,7.5,mw,iscgem,iscgem16958045,2015-05-13T18:52:41.000Z,"offshore Guerrero, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1909,35,7,mw,iscgem,iscgem16958054,2015-05-13T18:52:41.000Z,Pakistan,earthquake,automatic,iscgem,iscgem,,,,
1910,235,8.1,mw,iscgem,iscgem16958079,2015-05-13T18:52:41.000Z,northeast of Taiwan,earthquake,automatic,iscgem,iscgem,,,,
