Lon,Lat,OBJECTID,Longitude,Latitude,FID,OBJECTID_1,OBJECTID_12,ID,City_Department,Capital_Project_Number,Capital_Asset_Name,Capital_Project_Title,ID1,Project_Description,Neighborhood,Project_Status,Operating_Impact,FY17_Projected_Expenditure,Total_Project_Budget,Project_Schedule,City_Council_District,Investment_Categorization
-71.06962854,42.3396096,1,-71.06962795,42.33960093,0,2,100,56,Police Department,CPD23867,Area D-4 Station,Area A-1 and Area D-4 Stations,56,Install new roofs at two police stations. Replace windows at Area A-1 Station and make foundation and terrace masonry repairs.,South End,To Be Scheduled,0,125000,2500000,Initiating in FY17,District 2,Public Safety
-71.15047689,42.34941534,2,-71.15047627,42.34940667,1,4,102,58,Police Department,CPD23865,Area D-14 Station,Area D-14 Station,58,Install new windows on the second floor.,Allston/Brighton,To Be Scheduled,0,300000,360000,Initiating in FY17,District 9,Public Safety
-70.99225151,42.30498297,3,-70.99225094,42.3049743,2,6,104,64,Police Department,CPD20654,Police Gun Range,Gun Range at Moon Island,64,Design and construct a facility to support administrative and training requirements including appropriate environmental mitigation.,Harbor Islands,In Design,0,1939686,2800000,Near Baseline,District 3,Public Safety
-71.09070763,42.33420105,4,-71.09070703,42.33419238,3,10,109,69,Police Department,CPD23970,Police Headquarters,Police Headquarters Exterior Work,69,"Improve the plinth associated with the parking lot knee wall, strengthen weakened security elements, and address the deteriorating condition of the rotunda.",Roxbury,In Design,0,655000,750000,Near Baseline,District 7,Public Safety
-71.09816334,42.33223501,5,-71.09816274,42.33222635,4,15,114,79,Boston Center for Youth and Families,CCC23931,Tobin Community Center,BCYF Tobin Commnuity Center,79,Implement recommendations from recent site study that will enhance the grounds of the Community Center including a new lawn and an outdoor stage that will create an inviting space to support outdoor youth and family events.,Mission Hill,New Project,0,160000,950000,Starting after FY17,District 9,Health & Human Services
-71.09801686,42.31387686,6,-71.09801626,42.3138682,5,20,5,437,School Department,CPS24549,Hernandez School,Exterior Site Improvements at Hernandez School,437,General site improvements including permeable paving that will reduce the volume of storm water run-off entering the Boston Water and Sewer Commission's (BWSC) storm water system. The BWSC is funding a portion of this project.,Roxbury,New Project,0,150000,675000,Initiating in FY17,District 6,Education
-71.06956488,42.28126029,7,-71.06956429,42.28125163,6,26,11,443,School Department,CPS24312,Henderson School at Wilson,Access Improvements at Henderson Inclusion Upper School Phase II,443,"Accessibility renovations including bathroom and fire system upgrades.
",Dorchester,In Design,-1,200000,4075000,Near Baseline,District 4,Education
-71.03490995,42.36555209,8,-71.03490936,42.36554342,7,27,12,444,School Department,CPS23855,Adams School,Security Related Improvements at Various Schools,444,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",East Boston,Annual Program,-1,45455,6500000,Initiating in FY17,District 1,Education
-71.13536948,42.27775095,9,-71.13536887,42.27774229,8,31,16,448,School Department,CPS23855,Bates School,Security Related Improvements at Various Schools,448,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Roslindale,Annual Program,-1,45455,6500000,Initiating in FY17,District 5,Education
-71.10457761,42.26716244,10,-71.10457701,42.26715378,9,36,21,453,School Department,CPS23855,Chittick School,Security Related Improvements at Various Schools,453,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Mattapan,Annual Program,-1,45455,6500000,Initiating in FY17,District 5,Education
-71.11424673,42.3187118,11,-71.11424612,42.31870313,10,40,25,457,School Department,CPS24332,Curley School,Window Replacements at 7 Schools,457,"Complete a feasibility study and develop schematic designs for window replacement projects at Community Academy, Curley School, Ellis School, McKay K-8 School, Sumner School, TechBoston Academy, and Young Achievers K-8 School in partnership with the MSBA",Jamaica Plain,In Design,-1,467308,25743163,Near Baseline,District 6,Education
-71.05332996,42.36601379,12,-71.05332937,42.36600512,11,43,28,460,School Department,CPS24296,Eliot School,Eliot School Access Improvements,460,"New school entrance, accessible bathroom renovations, and sprinkler system at the Eliot School's Charter Street building.",North End,To Be Scheduled,0,0,450000,Starting after FY17,District 1,Education
-71.09302263,42.31614996,13,-71.09302203,42.3161413,12,44,29,461,School Department,CPS24332,Ellis School,Window Replacements at 7 Schools,461,"Complete a feasibility study and develop schematic designs for window replacement projects at Community Academy, Curley School, Ellis School, McKay K-8 School, Sumner School, TechBoston Academy, and Young Achievers K-8 School in partnership with the MSBA",Roxbury,In Design,-1,467308,25743163,Near Baseline,District 7,Education
-71.07295237,42.32350658,14,-71.07295178,42.32349792,13,45,30,462,School Department,CPS23860,Dudley Street Neighborhood School,Quality Improvement Fund for Schools,462,Capital investment program targeting facility improvements at the Dudley Street Neighborhood School.,Roxbury,In Construction,-1,2274036,15000000,Baseline Project,District 7,Education
-71.05981524,42.31366042,15,-71.05981465,42.31365175,14,47,32,464,School Department,CPS23855,"Everett, Edward",Security Related Improvements at Various Schools,464,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Mission Hill,Annual Program,-1,45455,6500000,Initiating in FY17,District 8,Education
-71.10346298,42.30892493,16,-71.10346238,42.30891626,15,50,35,467,School Department,CPS23855,Margaret Fuller building,Security Related Improvements at Various Schools,467,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Jamaica Plain,Annual Program,-1,45455,6500000,Initiating in FY17,District 6,Education
-71.11777822,42.26520779,17,-71.11777761,42.26519914,16,53,38,470,School Department,CPS24348,ACC at E Greenwood,ACC at E. Greenwood,470,Interior renovation of the E. Greenwood facility for Another Course to College.,Hyde Park,In Design,-1,3500000,7000000,Near Baseline,District 5,Education
-71.08021755,42.29695851,18,-71.08021695,42.29694985,17,54,39,471,School Department,CPS23855,"Greenwood, Sarah",Security Related Improvements at Various Schools,471,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Dorchester,Annual Program,-1,45455,6500000,Initiating in FY17,District 4,Education
-71.07555433,42.33061771,19,-71.07555373,42.33060905,18,63,48,480,School Department,CPS23855,Orchard Gardens K-8 School,Security Related Improvements at Various Schools,480,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Roxbury,Annual Program,-1,45455,6500000,Initiating in FY17,District 7,Education
-71.07797399,42.33896715,20,-71.07797339,42.33895848,19,66,51,483,School Department,CPS23855,Hurley School,Security Related Improvements at Various Schools,483,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",South End,Annual Program,-1,45455,6500000,Initiating in FY17,District 7,Education
